transport,concurrency,body_kb,p50_ms,p99_ms,rps,errors,alloc_kb_per_req,heap_mib,cpu_s_per_1k
http,100,1,2.65,30.33,12797,0,61.6,41,0.560
ext_proc,100,1,3.08,10.83,19977,0,55.0,47,0.500
http,100,8,5.39,21.98,12127,0,114.4,52,0.820
ext_proc,100,8,4.64,10.64,17664,0,107.6,46,0.780
http,100,32,8.11,53.98,6259,0,332.0,49,1.830
ext_proc,100,32,15.56,28.17,6143,0,406.5,141,2.330
http,100,128,18.72,118.68,3395,0,1144.8,55,5.140
ext_proc,100,128,31.73,46.89,2892,0,1183.2,66,5.410
http,100,512,72.62,211.42,1302,0,4705.2,70,16.010
ext_proc,100,512,111.54,206.37,785,0,4197.2,296,17.500
http,100,2048,262.30,824.15,340,0,17527.6,211,58.150
ext_proc,100,2048,548.55,859.58,197,0,16360.1,180,69.630
http,100,3900,474.57,1269.05,187,0,37784.3,189,112.510
ext_proc,100,3900,0.00,0.00,5361,500,29.8,123,0.390
http,100,6144,727.44,1590.26,121,0,59725.3,244,185.080
ext_proc,100,6144,0.00,0.00,3426,500,30.7,170,0.540
